feature,importance
pace_vs_field,0.4111532781456765
grid_elo_interaction,0.17018785240316744
quali_gap_pct,0.03492154896357083
pit_stops_vs_field,0.029228817856003814
grid,0.023892602031418717
constructor_rolling_points,0.021241559508657262
best_lap_pct,0.01997804638965987
season_cumulative_points,0.017875450995769617
laps_completed_actual,0.017127271112527622
constructor_temp_interaction,0.017001784557814162
ewm_position_5,0.01287805691240277
rolling_consistency,0.01207278594513967
elo_vs_field,0.011322205145662895
rolling_avg_position_5,0.010620389694181628
lap_consistency,0.01044288471348246
avg_lap_time,0.010110044579611305
circuit_id_enc,0.00954690933413337
quali_gap_to_pole,0.008619328101230733
driver_elo,0.008573560793145679
quali_vs_teammate,0.00848312565406483
ewm_points_5,0.007096519480636012
max_humidity,0.0067759492510158555
rolling_positions_gained_5,0.006700789305490922
driver_id_enc,0.0065889205940533385
max_tyre_life,0.006365560100224795
q3_seconds,0.0060900102079629904
best_lap_time,0.005756750822380688
driver_consistency_5,0.005385360241742045
points_gap_to_leader,0.0051208524769329605
driver_name_enc,0.004628712154782477
avg_track_temp,0.004317796461975765
min_track_temp,0.004254426129957645
avg_air_temp,0.003863884610811725
q2_seconds,0.0037405822990948965
rolling_avg_points_5,0.003706831786467172
avg_humidity,0.003680586747516143
circuit_avg_position,0.0034195097532117654
circuit_name_enc,0.0032793001082683055
prev_season_points,0.003173203531705777
race_name_enc,0.002997586733715962
temp_variation,0.002528506496683275
driver_code_enc,0.00251207280689822
best_quali_seconds,0.0024665048210671748
constructor_rain_interaction,0.002331434669004074
points_streak,0.0022691889531309705
season_progress,0.0021339701056963373
circuit_chaos_index,0.001966844253863771
max_track_temp,0.0019271315845275948
circuit_races_count,0.0018869656252763468
min_tire_deg_slope,0.0015591374693667466
max_tire_deg_slope,0.0015063544766081797
prev_season_position,0.001427699911532568
driver_avg_deg_5,0.0012970534735118264
driver_circuit_wins,0.0012572427894981396
constructor_id_enc,0.0012535450510372211
podium_streak,0.001223267546374303
championship_position,0.0011306963298276015
q1_seconds,0.0010861496019174924
num_stints,0.0009184050882933537
avg_tire_deg_slope,0.0009140374281008599
num_pit_stops,0.0007598706608283359
season,0.0006795547516637782
round,0.000668419011338938
prev_season_wins,0.0004552229325865113
driver_circuit_podiums,0.0004464985110666129
stint_count_tire,0.0003716339647426094
is_prev_top5,0.00023312116517769103
constructor_name_enc,0.00020284689820553872
rolling_dnf_rate_5,0.0001622392881665473
win_streak,9.178791367011054e-05
pit_strategy_aggressive,7.737564870705287e-05
is_prev_top3,3.458513636159498e-05
is_prev_champion,0.0
is_season_end,0.0
is_season_start,0.0
circuit_dnf_rate,0.0
had_rain,0.0
is_cold_race,0.0
is_hot_race,0.0
