feature,importance
constructor_rolling_points,0.10032521294229158
pace_vs_field,0.06809578364373985
quali_gap_to_pole,0.06442493909481056
quali_gap_pct,0.06052288044768421
prev_season_position,0.04760170027128186
rolling_avg_points_5,0.04622157596717877
prev_season_wins,0.04276011355868463
is_prev_champion,0.03787275587615168
grid,0.03642319091004109
rolling_avg_position_5,0.030296704090387077
prev_season_points,0.02922941884272844
lap_consistency,0.026293302195051063
best_lap_pct,0.024578188080024366
driver_consistency_5,0.02197694935231898
season_cumulative_points,0.01974216795212647
rolling_consistency,0.01920723172949391
q3_seconds,0.017667004794367714
race_name_enc,0.01745864109710135
best_lap_time,0.01622470019304975
best_quali_seconds,0.016093287184037235
avg_lap_time,0.015886396356568452
q1_seconds,0.01569617496669252
q2_seconds,0.015514196477174204
pit_stops_vs_field,0.01494514535178234
rolling_positions_gained_5,0.014277168259069963
circuit_avg_position,0.013848081746390786
circuit_name_enc,0.01317307786838664
circuit_id_enc,0.012160224680235985
min_tire_deg_slope,0.012104951333171998
max_tyre_life,0.011731993561206975
driver_avg_deg_5,0.01119964194567479
avg_tire_deg_slope,0.010330539716454493
laps_completed_actual,0.010051986523257965
round,0.009858923611268807
max_tire_deg_slope,0.008522538622912324
circuit_races_count,0.007993004509529156
driver_name_enc,0.0072773121257557714
driver_code_enc,0.007217335408065304
season,0.006057307348248549
is_prev_top3,0.005760375810917303
constructor_name_enc,0.005540742707932683
num_pit_stops,0.005444472463455392
driver_id_enc,0.0047122504694266645
num_stints,0.004617431703073039
constructor_id_enc,0.003613197958604395
stint_count_tire,0.0035302290734499286
rolling_dnf_rate_5,0.0024131323988972543
is_prev_top5,0.0020527649752092444
pit_strategy_aggressive,0.0014536538046364808
